notification_id,salary_related,transaction_type_mapped,percentage_change_in_holding,volume,n_people
6059,0,Acquisition/Purchase of Shares,0.04,14400.0,1
6060,0,Acquisition/Purchase of Shares,0.07777777777777778,0.0,1
6061,0,Acquisition/Purchase of Shares,0.07777777777777778,4795000.0,1
6062,0,Acquisition/Purchase of Shares,1.0,13485.0,1
6063,0,Acquisition/Purchase of Shares,1.0,13485.0,1
6064,0,Acquisition/Purchase of Shares,1.0,12900000.0,1
6065,0,Acquisition/Purchase of Shares,1.0,12900000.0,1
6066,0,Acquisition/Purchase of Shares,1.0,14100.0,1
6067,0,Acquisition/Purchase of Shares,1.0,14100.0,1
6068,0,Acquisition/Purchase of Shares,0.13636363636363635,44550.0,1
6069,0,Acquisition/Purchase of Shares,0.13636363636363635,44550.0,1
6070,1,Group Not Found,1.0,2493537.3,1
6071,1,Group Not Found,0.0,94914.25,4
6072,1,Acquisition/Purchase of Shares,0.0,763055.531875,16
6073,1,Cash Settlement of Rights/Options,0.0,3439904.832,5
6074,1,Group Not Found,0.0,1486752.6266666667,3
6075,0,Acquisition/Purchase of Shares,1.0,134000.0,1
6076,1,Acquisition/Purchase of Shares,1.0,0.0,7
6077,1,Group Not Found,0.0,1009128.125,4
6078,0,Acquisition/Purchase of Shares,1.0,160882.5,1
6079,1,Group Not Found,0.0,1622366.2,1
6080,1,Grant/Award of Rights/Instruments,1.0,0.0,5
6081,1,Cash Settlement of Rights/Options,0.0,977306.0,1
6082,1,Cash Settlement of Rights/Options,0.0,186511.12333333332,3
6083,1,Acquisition/Purchase of Shares,1.0,0.0,5
6084,0,Acquisition/Purchase of Shares,1.0,87960.0,1
6085,1,Acquisition/Purchase of Shares,1.0,0.0,1
6086,1,Acquisition/Purchase of Shares,1.0,0.0,1
6087,0,Acquisition/Purchase of Shares,1.0,147750.0,1
6088,1,Group Not Found,0.0,1409763.6933333334,6
6089,1,Acquisition/Purchase of Shares,1.0,0.0,5
6090,1,Acquisition/Purchase of Shares,1.0,0.0,6
6091,1,Cash Settlement of Rights/Options,0.0,1188437.5,1
6092,1,Cash Settlement of Rights/Options,1.0,2193443.06,1
6093,0,Acquisition/Purchase of Shares,1.0,124800.0,1
6094,1,Cash Settlement of Rights/Options,0.0,485265.10000000003,1
6095,0,Acquisition/Purchase of Shares,0.5,283743620.16275,4
6096,1,Cash Settlement of Rights/Options,0.0,1684719.36,1
6097,1,Acquisition/Purchase of Shares,1.0,0.0,4
6098,1,Cash Settlement of Rights/Options,0.0,343120.62,1
6099,1,Acquisition/Purchase of Shares,1.0,0.0,7
6100,1,Exercise/Settlement leading to Shares,0.0,389046.84,6
6101,1,Group Not Found,0.0,748128.6666666666,3
6102,1,Group Not Found,0.5,259881.16000000003,2
6103,1,Acquisition/Purchase of Shares,1.0,0.0,1
6104,0,Acquisition/Purchase of Shares,1.3953488372093024,118050.0,1
6105,0,Acquisition/Purchase of Shares,0.4,654320.0,1
6106,0,Acquisition/Purchase of Shares,0.10344827586206896,51270.0,1
